lipid_molar_ratio,encapsulation_efficiency_percent_std_num,source,confidence,evidence,reference_doi,ionizable_lipid_name,helper_lipid_name,peg_lipid_name,cargo_type,title,chem_warnings,pmcid,ee_is_approximate
50:10:38.5:1.5,94.2,text,medium,"ure (1:1, v/v) at a concentration of 50 µg/µL, mixed according to the molar ratio of ionizable lipid: DSPC: sterol: DMG‐PEG2000 = 50:10:38.5:1.5, and   ⟶EE근거: clearly highlighted the structural and physicochemical differences between cholesterol and bile acids. Chol LNPs exhibited a high EE of 94.2%, whereas",10.1002/advs.76671,MC3,DSPC,,mRNA,Molecular Dynamics‐Guided Sterol Engineering of mRNA‐Lipid Nanoparticles Reprograms Biodistribution and Enhances Spleen‐,,13387038,False
50:38.5:10:1.5,90.0,text,medium,"holine (DSPC), cholesterol, and 1,2-dimyristoyl-rac-glycero-3-methoxypoly (ethylene glycol)-2000 (DMGPEG2000) at a molar ratio of 50:38.5:10:1.5 and w  ⟶EE근거: howed that all mRNA-LNP formulations had a particle size between 82.80 and 91.65 nm, with a PDI below 0.2 ( Fig. 2A and B ). mRNA encapsulation effici",10.1128/jvi.00269-26,SM102,DSPC,,mRNA,A ubiquitinated E2-based mRNA vaccine confers complete protection against lethal challenge with classical swine fever vi,헬퍼(38.5) > 콜레스테롤(10) — 통상과 반대입니다. 순서가 뒤바뀌었거나 논문 오기일 수 있습니다 (뒤집으면 50:10:38.5:1.5),13387000,True
50:39:9:2,93.4,text,medium,"le lipid LP‐01, cholesterol, DSPC and one of the polymer lipids ( 2d , 3c , 4d , 5d or DMG‐PEG2000 as a control)) were mixed at a 50:39:9:2 molar rati  ⟶EE근거:  unencapsulated (free) mRNA with encapsulated mRNA released after lipid membrane lysis with TritonX‐100. lPG‐LNPs had the highest encapsulation effici",10.1002/marc.202500428,,DSPC,,mRNA,Polyglycerol‐Based Lipids: A Next‐Generation Alternative to PEG in Lipid Nanoparticles for Advanced Drug Delivery System,헬퍼(39) > 콜레스테롤(9) — 통상과 반대입니다. 순서가 뒤바뀌었거나 논문 오기일 수 있습니다 (뒤집으면 50:9:39:2),13384789,False
46.3:9.4:42.7:1.6,,text,low,"ulation microfluidic device (Cytiva). Briefly, the ethanol phase (ALC-0315:DSPC:cholesterol:pDLS or ALC-0159, at a molar ratio of 46.3:9.4:42.7:1.6) was mixed with the mRNA-containing aqueous phase (1",10.1038/s41467-026-73698-6,ALC-0315,DSPC,ALC-0159,mRNA,Polypeptide-engineered lipid nanoparticles for mRNA delivery with limited immunogenicity,,13392015,
46.3:9.4:42.7:1.6,94.0,text,medium," Briefly, circRNA in acidic buffer (pH 4.0) was mixed with an ethanol-based lipid solution (ALC-0315:DSPC: Cholesterol: ALC-0519, 46.3:9.4:42.7:1.6 mo  ⟶EE근거:  (Fig. 1 B-C). The two circRNA constructs (cirBA and cirAM) were successfully encapsulated in lipid nanoparticles (LNPs), and the encapsulation effici",10.1186/s12951-026-04557-1,ALC-0315,DSPC,,mRNA,Circular RNA vaccines encoding fusion proteins of Mpox Virus A35R-M1R and B6R-A29L induce robust and durable protective ,,13393767,True
50:10:38.5:1.5,,text,low,"ly described. Briefly, an ethanolic lipid phase containing D-Lin-MC3-DMA, cholesterol, DSPC, and DSPE-PEG2000 at a molar ratio of 50:38.5:10:1.5 was mixed with an aqueous RNA solution in 25 mM acetate",10.1021/acsami.6c03188,A6,DOPC,DSPE-PEG2000,mRNA,Tunable Lipid Coatings Enable Cytoplasmic siRNA Delivery by DNA Origami,,13339022,
50:10:38.5:1.5,90.0,text,medium,"L-12 in 0.1 M citrate buffer (pH = 4.0). The lipid phase comprised SM-102, SOPC, cholesterol, and DMG-PEG2000 at a molar ratio of 50:10:38.5:1.5 (mol%  ⟶EE근거: tentials ranged from − 2 to 0 mV, suggesting a near-neutral surface that could mitigate nonspecific serum protein adsorption. The encapsulation effici",10.1186/s12951-026-04273-w,SM-102,SOPC,DMG-PEG2000,mRNA,A low-toxicity circular single-stranded DNA platform for safe and potent IL-12 immunotherapy against hepatocellular carc,,13352730,True
50:38.5:10:1.5,,text,low,"an ionizable lipid, 1,2‐distearoyl‐sn‐glycero‐3‐phosphocholine (DSPC), cholesterol, and PEG‐lipid (DMG‐PEG 2K) at molar ratios of 50:10:38.5:1.5, respectively [ 3 , 24 ]. LNPs were produced via microf",10.1002/advs.76539,,DSPC,,mRNA,Optimized Lipid Nanoparticles with Tail‐Modified Ionizable Lipids for Safer mRNA Delivery,헬퍼(38.5) > 콜레스테롤(10) — 통상과 반대입니다. 순서가 뒤바뀌었거나 논문 오기일 수 있습니다 (뒤집으면 50:10:38.5:1.5),13367110,
50:10:38.5:1.5,,text,low,"d DSPE‐PEG2000‐Mal (1,2‐distearoyl‐sn‐glycero‐3‐phosphoethanolamine‐N‐[maleimide(polyethylene glycol)‐2000]), at a molar ratio of 50:10:38.5:1.5 (SM‐102: DPPC: cholesterol: DSPE‐PEG2000‐Mal). The bone",10.1002/advs.76586,MC3,DSPE,,mRNA,Ubiquitination of ACSL4 by Parkin Suppresses Ferroptosis and Rescues Glucocorticoid‐Induced Bone Loss,,13359397,
50:13:35:2,,text,low,etry at the IMSERC Mass Spectrometry Facility. 2.4. LNP formulation and characterization LNPs were prepared at the molar ratio of 50:13:35:2 of MC3:DSPC: cholesterol:DSPE-PEG2000. For fluorescent LNPs,10.1016/j.jconrel.2026.114885,MC3,DSPE,DSPE-PEG,mRNA,DNA-directed assembly of multivalent lipid nanoparticles for targeted T cell gene delivery,,13345359,
50:38.5:10:1.5,,text,low,"tions of each individual lipid component to achieve a mixture of ALC-0315, DSPC, cholesterol, and DMG-PEG2000 at a molar ratio of 50:38.5:10:1.5 and a total lipid concentration of 6 mg/mL in ethanol. ",10.1038/s41467-026-72499-1,ALC-0315,DSPC,DMG-PEG2000,mRNA,Effects of different mixing techniques on mRNA lipid nanoparticle physicochemistry and biological performance,헬퍼(38.5) > 콜레스테롤(10) — 통상과 반대입니다. 순서가 뒤바뀌었거나 논문 오기일 수 있습니다 (뒤집으면 50:10:38.5:1.5),13338065,
50:10:38.5,,text,low,"ng a rapid microfluidic mixing method. DLin-MC3-DMA, DSPC, cholesterol, and DMG-PEG were dissolved in ethanol at a molar ratio of 50:10:38.5:1.5. siRNA was dissolved in 25 mM sodium acetate buffer (pH",10.1186/s12951-026-04511-1,DLin-MC3-DMA,DSPC,DMG-PEG,mRNA,Galactosylated LNP-mediated hepatic Sam68 silencing improves glucose homeostasis in diabetes by suppressing gluconeogene,,13352897,
22:22:41:1,,text,low,"posomes with FRET functionality were prepared by thin-film hydration using a lipid mixture of DPPG: DOPC: DOPE: NBD-PE: Rho-DHPE (22:22:41:1:1, w/w). In a black 96-well plate, 100 µL of PBS (pH 5.5 or",10.1186/s12951-026-04511-1,DLin-MC3-DMA,DSPC,DMG-PEG,mRNA,Galactosylated LNP-mediated hepatic Sam68 silencing improves glucose homeostasis in diabetes by suppressing gluconeogene,,13352897,
25:25:50,,text,low,"h endosomal mimics at pH 5.5, with or without LED irradiation. The endosomal mimics were prepared by mixing DOPS, DOPC, and DOPE (25/25/50, mol/mol), and labeled by rhodamine-phosphatidylethanolamine ",10.1126/sciadv.aef1695,ALC-0315,DSPC,DMG-PEG,mRNA,Mechanical movements generated by movable lipids break endosomal barriers for enhanced mRNA therapeutics,,13322231,
50:10:38.5:1.5,,text,low,ipids (from 0 to 50% molar ratio) were prepared below. BNT LNP: The molar ratio of ALC-0315 lipid/cholesterol/DSPC/DMG-PEG 2k was 50/38.5/10/1.5; PAT(10%) LNP: The molar ratio of ALC-0315 lipid/PAT li,10.1126/sciadv.aef1695,ALC-0315,DSPC,DMG-PEG,mRNA,Mechanical movements generated by movable lipids break endosomal barriers for enhanced mRNA therapeutics,,13322231,
25:25:48:1,,text,low,"d/or disruption. Endosomal mimicking liposomes were prepared via mixing DOPS, DOPC, DOPE, NBD-PE, and Rhod-PE in a molar ratio of 25/25/48/1/1 in chloroform. The mixture was subjected to rotary evapor",10.1126/sciadv.aef1695,ALC-0315,DSPC,DMG-PEG,mRNA,Mechanical movements generated by movable lipids break endosomal barriers for enhanced mRNA therapeutics,,13322231,
49:10:38.5:1.5,,text,low,"tion with the following lipid composition: SM‐102, DSPC, cholesterol, DMG‐PEG2000, and the lipophilic dye DiD at a molar ratio of 49:10:38.5:1.5:1. This yielded LNPs with the size of 156.1 ± 4.2 nm wi",10.1002/btm2.70131,,DSPC,,mRNA,"Shelf‐stable, ready‐to‐use therapeutic patches: Dip‐and‐deliver solutions for personalized wound care",,13327606,
45:9:44:2,94.0,text,medium,"y were then combined in a 20 mL scintillation vial and EtOH added for a final concentration of 33.7 mM lipid and a molar ratio of 45:44:9:2 (Ionizable  ⟶EE근거: hile those in citrate buffer displayed a modestly reduced pH of 6.9. At these measured pH values, all formulations exhibited high encapsulation effici",10.1021/acsnano.5c22170,SM-102,DSPC,DMG-PEG,mRNA,"Storage Buffer Composition Impacts Internal Structure, Freeze–Thaw Stability, and Transfection Efficiency of mRNA-Lipid ",,13325854,False
50:10:38.5,,text,low,", were prepared by microfluidic mixing. Lipids were dissolved in ethanol at a molar ratio of MC3:DSPC: cholesterol: DMG-PEG2000 = 50:10:38.5:1.5. The aqueous phase contained IL-33 mRNA with or without",10.1186/s12951-026-04562-4,MC3,DSPC,DMG-PEG2000,mRNA,Lipid nanoparticle-mediated co-delivery of IL-33 mRNA and STING agonist modulates the breast cancer microenvironment and,,13335381,
50:10:38.5:1.5,100.0,text,medium,"ueous solutions were rapidly vortex‐mixed. For the preparation of COM‐LNPs and LPC‐LNPs, the molar ratio was 50/10/38.5/1.5/0 and 50/10/38.5/1.5/14 fo  ⟶EE근거: modified formulations (Figure 1G ). Importantly, 16:0 LPC incorporation did not compromise nucleic acid loading, achieving an RNA encapsulation effici",10.1002/advs.76003,,DSPC,,mRNA,Tumor‐Specific Delivery of CD28 siRNA via Lyso‐PC C‐16 Modified Lipid Nanoparticles Overcomes Anti‐PD‐1 Resistance by Re,,13337025,True
50:10:38.5:1.5,,text,low,"transcription (IVT) using a T7 promoter. LNPs were formulated with SM-102, DSPC, cholesterol, and DMG-PEG2000 at a molar ratio of 50:10:38.5:1.5 in ethanol. The mRNA and lipid mixture were combined us",10.1038/s41541-026-01463-3,SM102,DSPC,DMG-PEG2000,mRNA,"Influenza mRNA vaccine with engineered panhandle-forming UTRs provides potent, dose-sparing protection against seasonal ",,13323722,
50:10:38.5:1.5,80.0,text,medium,", #850365P-500MG] were purchased from Sigma-Aldrich. For the LNP formulation, lipids were dissolved in ethanol at molar ratios of 50:38.5:10:1.5 (ioni  ⟶EE근거: 1.5, maintaining the same composition as that of the Moderna Spikevax vaccine, except for the ionizable lipid. Twenty LNPs with > 80% mRNA encapsulati",10.1038/s41541-026-01441-9,Lipid 5,DSPC,DMG-PEG2000,mRNA,A poorly reactogenic lipid nanoparticle-mRNA vaccine unveils an innate immune pathway for adverse reactions,,13323985,False
